sentences,label,quality
本报告期内公司未发生已审结的贪污诉讼案件,反贪污反洗钱,定量文本
详情请见管理业务活动的ESG关键风险章节,无关文本,无关文本
公司致力于构建性别友善工作制度与工作环境,员工,定性文本
锁定中海油北美公司未来五年钻完井一体化项目,无关文本,无关文本
公司获得中国科技产业促进会年标准创新组织奖,科技创新,定量文本
在国内的科技企业里自主研发投入一直位于前列,科技创新,定性文本
报告中的财务数据以人民币为单位特别说明除外,无关文本,无关文本
在推进专利研发之外我们还致力于提高专利质量,知识产权保护,定性文本
集团纪委委员总审计师傅敏作审计风控工作报告,审计工作,定性文本
公司业务发展的同时为社会创造的价值日益增大,无关文本,无关文本
累计拥有国家专利176项其中发明专利18项,知识产权保护,定量文本
有关ESG策略详情可参见ESG策略体系小节,无关文本,无关文本
回望过去一年的成绩奋斗书写华章进取收获成功,无关文本,无关文本
不正当竞争培训未发生责任营销方面的诉讼案件,法律诉讼与外部处分,定量文本
二是加强产销研一体化管理提升产业链运营效率,科技创新,定性文本
通过智慧机房系统项目落地大大提升了管理效率,科技创新,定性文本
5.废弃办公用品仅包含签字笔曲别针及订书针,废弃物管理,定性文本
我们还根据情况执行了我们认为必要的其他程序,无关文本,无关文本
获取更多相关信息可参考中信证券隐私保护条款,无关文本,无关文本
我们按照国家法律法规要求制定了年度培训计划,员工,定性文本
加强废弃物管理实现有害废弃物100合规处置,废弃物管理,定量文本
在境内外广泛开展公益活动提供资金和人力支持,公益和志愿服务,定性文本
供应商初始风险分级将根据其供应物料类别判定,供应链管理,定性文本
在阿根廷我们为当地居民提供了大量的就业机会,促进就业,定性文本
遵循质量不能使企业一荣俱荣却足以比降低21,无关文本,无关文本
管理层成员的年度薪酬水平与绩效考核结果挂钩,组织架构与运作,定性文本
力争2025年实现新能源千万吨标煤供给能力,能源与资源消耗,定量文本
龙沟村定向投资25万元修建集资市场改善民生,农村帮扶,定量文本
淮海医管公司获况良好符合医保管理责任书要求,产品质量,定性文本
本集图积板关心员工定期安排体检举办健康咨策,员工,定性文本
内控管理中心是西藏珠峰反贪污的重要监管部门,反贪污反洗钱,定性文本
该委员会跟踪目标完成情况并定期向董事会汇报,组织架构与运作,定性文本
我们数力于促进能源管理体系自身能源管理水平,能源与资源消耗,定性文本
7月湖北人福海康智慧仓储机器人项目成功上线,科技创新,定性文本
本报告所涉及货币金额如无特殊说明均为人民币,无关文本,无关文本
在抢险救灾等急难险重任务中冲锋在前捐款捐物,公益和志愿服务,定性文本
同时气温上升导致高温天气须发加剧员工健康风险,员工,定性文本
对于未成年工的使用严格控包容和平等的工作环境,员工,定性文本
尊敬的读者您好非常感谢您在百忙之中阅读本报告,无关文本,无关文本
在各部门中加强宣传提高企业全体员工的环境意识,员工,定性文本
关键岗位人员进行集体廉政谈话井提出相关要求,反贪污反洗钱,定性文本
推进ERP共享中心建设人力资源智能化系统建设,员工,定性文本
截至目前累计荣获中国专利金奖11项居行业第一,知识产权保护,定量文本
报告组织范围人福医药集团股份公司及下属子公司,无关文本,无关文本
2022年公司获得上交所信息披露A级优秀评价,信息披露与投资者沟通,定量文本
本次氯巴占片获批为国内患儿带来更好的治疗机会,产品质量,定性文本
2022年我们共引入了165家合格的新供应商,供应链管理,定量文本
金融是服务社会的美好事业我们始终坚信之笃行之,无关文本,无关文本
健康公司云商公司被省国资委评价为标杆A级企业,可持续认证,定量文本
2022年行业分类评价提升至A三年来连升7级,可持续认证,定量文本
风险管理R包括环境风险管理E和社会风险管理S,无关文本,无关文本
24小时全球研发复星医药集团研发创新充满活力,科技创新,定性文本
该项目在浙江日报学习强国等主流媒体进行了报道,无关文本,无关文本
社会公益责任公益事业履行社会责任扛起国企担当,公益和志愿服务,定性文本
在采购加强对案件的查处是廉政督察部的重点工作,反贪污反洗钱,定性文本
积极参与杭州市网警举办的2022年度护网行动,数据安全,定性文本
在晋升激励培训等方面为优秀人才提供适当的支持,员工,定性文本
健康元监事会共有3名监事其中包括1名职工代表,组织架构与运作,定量文本
同时本集团积极承担社会责任持续为社会创造价值,无关文本,无关文本
P15B6.4描述质量检定过程及产品回收程序,产品质量,定性文本
P28关键绩效B5.1按地区划分的供应商数目,供应链管理,定性文本
2022年公司所产生的有害废弃物均已合规处理,废弃物管理,定性文本
公司积极开展廉洁从业宣传培育廉洁从业文化氛围,反贪污反洗钱,定性文本
2022年公司每平方米耗水量较去年同期减少4,水资源,定量文本
加强用水管理监控并管理用水部分水资源循环利用,水资源,定性文本
106关键绩效指标B2.2因工伤损失工作日数,员工,定量文本
HSE管理体系第三方评估在行业内处于先进水平,环境政策,定性文本
未按要求取得允许穿跨越许可时项目不得开工建设,无关文本,无关文本
智能安全帽项目已完成现场施工正处于试运营阶段,科技创新,定性文本
我们禁止以任何形式招用未满16周岁的未成年人,员工,定性文本
4此报告对利益相关方关心的问题进行回应和披露,无关文本,无关文本
公司完善线上线下业务办理流程提升客户服务质量,客户与消费者,定性文本
公司把贯彻落实党中央决策部署作为重要政治责任,无关文本,无关文本
更多内容详见专题中国石油五大行动助力乡村振兴,农村帮扶,定性文本
研究拓展新兴产业打造适应时代发展的核心竞争力,科技创新,定性文本
福利制度迪马股份努力为员工提供多样的福利制度,员工,定性文本
迄今为止公司未收到滥用武力或者侵犯人权的投诉,举报制度,定量文本
公司坚持稳定合理的派息政策为股东带来良好回报,股东及债权人权益,定性文本
2022年关联交易情况详见2022年公司年报,无关文本,无关文本
感谢贵单位为助力脱贫攻坚作出特发此证以志纪念,农村帮扶,定性文本
为增强报告完整性部分内容适当向前追溯向后延伸,无关文本,无关文本
公司始终致力于提供具有行业领先水平的用户服务,客户与消费者,定性文本
除此之外公司十分重视供应商之间紧密沟通和协作,供应链管理,定性文本
公司监事会由3名监事组成其中职工代表监事1名,组织架构与运作,定量文本
在塔国我们兴建学校为学生打造现代化的学习环境,公益和志愿服务,定性文本
105关键绩效指标B2.2因工伤损失工作日数,员工,定量文本
报告期内公司没有发生工作相关的员工职业健康问题,员工,定量文本
公司重视对员工的安全教育不断加强员工的安全意识,员工,定性文本
这些举措将帮助提高阿根廷当地人民的素质和竞争力,促进就业,定性文本
实现变输血为造血两年来为作用让雷锋精神薪火相传,公益和志愿服务,定性文本
无偿营成天尚光草产业帮扶乡村振兴关键是产业振兴,农村帮扶,定性文本
帮助员工学以致用提升个人款技能开拓视野增长知识,员工,定性文本
中储与孝昌县委县政府协议开展一对一结对帮扶工作,农村帮扶,定性文本
截至报告期末健康元未发生使用童工或强迫劳工事件,员工,定量文本
2022年9月28日本集团对员工开展触电事故应急演练,员工,定性文本
健全入库调整合同余额结转销售利润统计报表等功能,无关文本,无关文本
2022年度本集团制药成灵企业上报测和数据上报,无关文本,无关文本
我们追求卓越坚持做对的事联的事凭要时间积累的事,无关文本,无关文本
2007年连续三年入选中国最具价值品牌500强,产品质量,定量文本
2004年公司被国家中标认证中心授予节能贡献奖,能源与资源消耗,定性文本
举办和参与多场ESG专题会议助力可持续金融发展,绿色金融,定性文本
定期组织健康讲座健康义诊帮助生病员工预约专家等,员工,定性文本
匹配有竞争力的薪酬增长机制保障薪酬与技能相匹配,员工,定性文本
用水管理方面公司持续加强用水管理避免水资源浪费,水资源,定性文本
本年度我们开展了面向全体员工的钓鱼邮件测试演练,数据安全,定性文本
此外海尔英国还为其他多样化的弱势群体组织了募捐,公益和志愿服务,定性文本
同时我们督促一级供应商对二级供应商进行检查改进,供应链管理,定性文本
公司体检服务覆盖所有正式员工派遣员工及退休员工,员工,定性文本
员工薪酬由工资年度奖金特殊奖励和保险福利等构成,员工,定性文本
旗下科本药业获评省级企业技术中心和专精特新企业,科技创新,定性文本
荣膺第十一届浙江孝贤选树名录之浙江十大慈孝企业,公益和志愿服务,定性文本
1902上海电气的历史最早可以追溯到1902年,无关文本,无关文本
职工代表大会是公司与员工进行沟通的重要渠道之一,员工,定性文本
公司控股子公司物产中大欧泰有限公司简称欧泰公司,无关文本,无关文本
公司及各海外平竞争或存在垄断条款的合同及时纠正,反不正当竞争,定性文本
同时上海电气紧抓新机遇是具备成长潜力的优质公司,无关文本,无关文本
建立了温暖基金重点关注贫困职工强化和谐劳动关系,员工,定性文本
我们高度重视股东权益尤其是中小股东合法权益保护,股东及债权人权益,定性文本
原油及天然气的勘探开发输送生产和销售新能源业务,能源与资源消耗,定性文本
9月宜昌人福盐酸羟考酮缓释片获批上市为国内首仿,产品质量,定性文本
9月宜昌人福氯巴占片获批公司首次涉足罕见病领域,产品质量,定性文本
二是积极与家属沟通让适合接种的老人注射新冠疫苗,抗疫,定性文本
积极组建消保专家人才库不断提升消保人才队伍素养,客户与消费者,定性文本
产业项目打造特色文化社群教育板块萌前有了新突破,无关文本,无关文本
持续建设领导力核心课程体系加强管理人员培养培训,组织架构与运作,定性文本
我们的团队具备此次评估认证任务所需的资质和经验,无关文本,无关文本
举报奖励通过专属通道发放确保举报人得到有效保护,举报制度,定性文本
改善东乡县供水设施让布楞沟流域的村民用上自来水,水资源,定性文本
P19B7.3描述向董事及员工提供的反贪污培训,反贪污反洗钱,定性文本
深入实施科改示范行动激发科技创新内生动力和活力,科技创新,定性文本
有关会议情况均以公告形式刊载于交易所及公司网站,信息披露与投资者沟通,定性文本
研发和推广碳减排技术强化温室气体排放监测与管理,碳排放,定性文本
大力发展分子炼油氢基炼化不断提高原料低碳化比例,原材料,定性文本
2022年共有1150名员工参加了风险管理培训,员工,定量文本
B6.2接受关于产品及服务的投诉数目以及应对方法,客户与消费者,定性文本
2022年公司未收到服务投诉客户满意度为98.8,客户与消费者,定量文本
P25B6.3描述与维护及保障知识产权有关的惯例,知识产权保护,定性文本
使得国内和国际两个市场有机互补促进公司更好的发展,无关文本,无关文本
定期编制并发布董事会相关报告披露董事会的工作绩效,组织架构与运作,定性文本
公司监督机构自觉接受董事会监事会和全体员工的监督,组织架构与运作,定性文本
严格遵守国家和地方政府相关生态敏感区专项管理规定,生物多样性,定性文本
若汇报范围有所改变发行人应解释不同之处及变动原因,无关文本,无关文本
废弃电子设备及废弃办公家具均由回收商进行回收处置,废弃物管理,定性文本
中信期货在基层乡镇举办期货服务三农金融知识培训班,农村帮扶,定性文本
2022年上海电气主要产业集团未接到任何客户投诉,客户与消费者,定量文本
2022年公司未发生雇佣童工及强迫和强制劳动事件,员工,定量文本
我们倡廉洁之风扬清正之气坚持党的领导加强党的建设,反贪污反洗钱,定性文本
2022年公司化工产品销售服务未发生客户投诉事件,客户与消费者,定量文本
2022年公司未发现员工健康及安全相关的违规事件,员工,定量文本
公司亦积极推广使用电子会议材料逐步实现无纸化办公,能源与资源消耗,定性文本
支部共有党员43名霍盖管理班子中层骨干和基层员工,组织架构与运作,定量文本
先进性和科学性本集图组织定期收期整理工程法规文件,组织架构与运作,定性文本
持续开展研发销售采购费用等重点业务的管理专显审计,审计工作,定性文本
求为导向高新技术为驱动的研发方针全力推进研发创新,科技创新,定性文本
同时支持重点专科发展理品管圈在省赛中均荣获二等奖,科技创新,定量文本
在对各版本的理解上发生歧义时请以中文简体版本为准,无关文本,无关文本
定期组织开展央企兴农活动广大职工积极参与助农工作,农村帮扶,定性文本
2.员工绩效考核与激励建立全级次全员跟踪考核机制,员工,定性文本
本行逐户收集客户数据根据一定方法估算企业碳排放量,碳排放,定性文本
同时智能识别客户标签为客户推荐更加适配的贷款产品,客户与消费者,定性文本
公司连续第三年获得上交所信息披露评价最高等级A级,信息披露与投资者沟通,定量文本
阳光跑团舞蹈瑜伽乒乓球等社团增强员工活力和幸福感,员工,定性文本
若汇报范围有所改变发行人应解释不同之处及变动原因,无关文本,无关文本
2022年公司全年新建碳汇林碳中和林10635亩,碳排放,定量文本
监事会对公司财务情况内控管理等情况进行了有效监督,组织架构与运作,定性文本
复星医药携手上海复星公金会设立星爱121专颖基金,公益和志愿服务,定性文本
项目实现从传统人工拣选向智能化设备协同管控的转型,科技创新,定性文本
2022年3月新疆维药党支部开展义务植树志愿活动,公益和志愿服务,定性文本
报告期内公司5家下属企业被评为省级工业节水型企业,水资源,定量文本
公司4家下属生产企业相继通过ISO14001认证,可持续认证,定量文本
2022年申请专利数280项新增授权专利147项,知识产权保护,定量文本
培训形式就业帮扶多样支持线上或线下的双轨学习方式,促进就业,定性文本
胸腺肿瘤胸腺肿瘤是胸部肿瘤相对罕见的一种肿瘤类型,无关文本,无关文本
公司按照国家及企业相关规定鼓励并安排员工带薪休假,员工,定性文本
项目实现了村企收入的增加同时助力当地黄芪产业发展,农村帮扶,定性文本
公司健全完善客户服务管理流程理解客户的需客户问题,客户与消费者,定性文本
公司未发生信息安全泄露事件未发生泄露客户隐私事件,数据安全,定量文本
组织开展员工健身活动开展羽毛球篮球拔河等体育比赛,员工,定性文本
助力脱贫攻坚行动公司坚持履行社会责任聚焦乡村振兴,农村帮扶,定性文本
组织开展女职工沙龙系列活动累计70余名女职工参与,员工,定量文本
若汇报范围有所改变发行人应解释不同之处及变动原因,无关文本,无关文本
宁波公司开拓主流汽车厂配件业务月供吉利长城等名企,供应链管理,定性文本
P8081B6.4描述质量检定过程及产品回收程序,产品质量,定性文本
做到每日报告疫情情况内部做好消杀工作建立疫情台账,抗疫,定性文本
P82B6.3描述与维护及保障知识产权有关的惯例,知识产权保护,定性文本
P2021B7.2描述向董事及员工提供的反贪污培训,反贪污反洗钱,定性文本
2022年公司开展廉洁从业检查2次廉洁从业培训5次,反贪污反洗钱,定量文本
年均发电量800万kWh以全额上网模式接入国家电网,能源与资源消耗,定量文本
23服务自贸区建设国家战略油气资源配置能力持续提升,能源与资源消耗,定性文本
本年度集团未新增职业病疑似职业病及职业禁忌证的病例,员工,定量文本
公司董事会目前由11名董事组成其中包含独立董事4人,组织架构与运作,定量文本
公司推行带薪年休假疗养假等提升了员工的基本福利保障,员工,定性文本
公司控股子公司物产中大集团财务有限公司简称财务公司,无关文本,无关文本
依法须经批准的项目经相关部门批准后方可开展经营活动,无关文本,无关文本
被中国林业产业联合会评为国家级森林康养试点建设基地,生物多样性,定性文本
集团总部开设医务室为员工提供医疗咨询中医理疗等服务,员工,定性文本
依托人才引领作用人福医药打造了多个创新研发技术平台,科技创新,定性文本
员工生物多样性保护意识不断提升自发保护救助野生动物,生物多样性,定性文本
截至年底所有地面工程均已完工项目进入最后的调试阶段,无关文本,无关文本
若问题整改无效我们将即刻停止与严重违规供应商的合作,供应链管理,定性文本
2022年我们组织供应商培训4场共计1027人参加,供应链管理,定量文本
我们亦对调查人员进行培训以提升其反舞弊工作执行能力,反贪污反洗钱,定性文本
2022年公司涉及反贪污反舞弊的审结诉讼案件共2起,反贪污反洗钱,定量文本
优化员工职务晋升规则突出基层和实践导向注重竞争择优,员工,定性文本
开展企业级学习产品库建设学习项目库累计项目410个,产品质量,定量文本
层面B5供应商管理本行多措并举深入推进绿色采购行动,供应链管理,定性文本
深化消保宣教培训消保培训方面一是将消保培训融入业务,客户与消费者,定性文本
